  PID  PPID COMMAND
  397     1 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
  399     1 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  400     1 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
  401     1 /usr/libexec/diagnosticextensionsd
  402     1 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  403     1 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
  404     1 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  405     1 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  406     1 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  408     1 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  409     1 /usr/libexec/swcd
  410     1 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  411     1 /Applications/Safari.app/Contents/MacOS/Safari
  412     1 /usr/libexec/pkd
  413     1 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  414     1 /Applications/Slack.app/Contents/MacOS/Slack
  416     1 /System/Library/CoreServices/talagent
  417     1 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  420     1 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  422     1 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/com.apple.siri.embeddedspeech.xpc/Contents/MacOS/com.apple.siri.embeddedspeech
  425     1 /System/Applications/Mail.app/Contents/MacOS/Mail
  426     1 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  428     1 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  429     1 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  430     1 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  431     1 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  433     1 /usr/sbin/WirelessRadioManagerd
  436     1 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  437     1 /usr/sbin/systemsoundserverd
  438     1 /usr/libexec/pboard
  439     1 /System/Library/Frameworks/AddressBook.framework/Executables/ContactsAccountsService
  440     1 /System/Library/PrivateFrameworks/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.History.xpc/Contents/MacOS/com.apple.Safari.History
  441     1 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  442     1 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  443     1 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  445     1 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  446     1 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  448     1 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
  449     1 /usr/sbin/filecoordinationd
  450     1 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
  451     1 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  454     1 /System/Library/CoreServices/iconservicesagent
  456     1 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  458     1 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  459     1 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  460     1 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  461     1 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  462     1 /System/Library/Frameworks/ImageIO.framework/Versions/A/XPCServices/ImageIOXPCService.xpc/Contents/MacOS/ImageIOXPCService
  463     1 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  465     1 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  466     1 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
  467     1 /System/Library/Input Methods/EmojiFunctionRowIM.app/Contents/PlugIns/EmojiFunctionRowIM_Extension.appex/Contents/MacOS/EmojiFunctionRowIM_Extension
  468     1 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  469     1 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
  470     1 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
  472     1 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  473     1 /System/Library/PrivateFrameworks/CharacterPicker.framework/Versions/A/XPCServices/com.apple.CharacterPicker.FileService.xpc/Contents/MacOS/com.apple.CharacterPicker.FileService
  474     1 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  475     1 /System/Library/Frameworks/ClassKit.framework/Versions/A/progressd
  476     1 /usr/libexec/sharingd
  477     1 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  478     1 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  479     1 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  480     1 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
  481     1 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/com.apple.siri.ClientFlow.ClientScripter.xpc/Contents/MacOS/com.apple.siri.ClientFlow.ClientScripter
  482     1 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.MobileDocumentsFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.MobileDocumentsFileProvider
  483     1 /System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
  484     1 /usr/sbin/spindump
  485     1 /usr/libexec/spindump_agent
  486     1 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
  490     1 /Applications/Utilities/Adobe Sync/CoreSync/Core Sync.app/Contents/PlugIns/ACCFinderSync.appex/Contents/MacOS/ACCFinderSync
  491     1 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/com.apple.CoreSimulator.CoreSimulatorService.xpc/Contents/MacOS/com.apple.CoreSimulator.CoreSimulatorService
  492     1 /System/Library/CoreServices/pbs
  493     1 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimLaunchHost.x86.xpc/Contents/MacOS/SimLaunchHost.x86
  494     1 /System/Library/Image Capture/Support/icdd
  496     1 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
  497     1 /usr/libexec/WiFiVelocityAgent
  499     1 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  500     1 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimulatorTrampoline.xpc/Contents/MacOS/SimulatorTrampoline
  501     1 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  503     1 /usr/libexec/captiveagent
  510     1 /System/Library/PrivateFrameworks/Translation.framework/translationd
  538     1 /usr/libexec/wifivelocityd
  661     1 /usr/libexec/taskgated
  674     1 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  675     1 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  676     1 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  677     1 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  700     1 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  707     1 /System/Library/Frameworks/QuickLook.framework/Versions/A/XPCServices/QuickLookSatellite.xpc/Contents/MacOS/QuickLookSatellite
  708     1 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariLaunchAgent
  713     1 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  714     1 /usr/libexec/neagent
  716     1 SafeEjectGPUAgent
  717     1 /System/Library/CoreServices/Menu Extras/SafeEjectGPUExtra.menu/Contents/XPCServices/SafeEjectGPUService.xpc/Contents/MacOS/SafeEjectGPUService
  718     1 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  719     1 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
  721     1 /Applications/Visual Studio Code.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler --no-rate-limit --no-upload-gzip --monitor-self-annotation=ptype=crashpad-handler --database=/Users/remibardon/Library/Application Support/Code/Crashpad --metrics-dir=/Users/remibardon/Library/Application Support/Code --url=appcenter://code?aid=860d6632-f65b-490b-85a8-3e72944f7774&uid=28c3ea7e-2ccc-4968-9399-6bd3d012df17&iid=28c3ea7e-2ccc-4968-9399-6bd3d012df17&sid=28c3ea7e-2ccc-4968-9399-6bd3d012df17 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.52.1 --annotation=prod=Electron --annotation=ver=9.3.5 --handshake-fd=27
  723     1 /usr/libexec/gamecontrollerd
  727     1 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
  728     1 /Applications/Safari.app/Contents/XPCServices/com.apple.Safari.SandboxBroker.xpc/Contents/MacOS/com.apple.Safari.SandboxBroker
  729     1 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariCloudHistoryPushAgent
  730     1 /System/Library/CoreServices/cloudpaird
  731     1 /usr/libexec/seld
  732     1 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/webinspectord
  733     1 /usr/libexec/DataDetectorsSourceAccess
  734     1 /usr/libexec/fmfd
  743     1 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  765     1 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  780     1 /usr/sbin/distnoted agent
  788     1 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  789     1 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  790     1 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
  791     1 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
